year,return
1970,1.0401
1971,1.1431
1972,1.1898
1973,0.8533999999999999
1974,0.7353000000000001
1975,1.372
1976,1.2384
1977,0.9282
1978,1.0655999999999999
1979,1.1844000000000001
1980,1.325
1981,0.9508
1982,1.2155
1983,1.2256
1984,1.0627
1985,1.3173
1986,1.1867
1987,1.0525
1988,1.1661
1989,1.3169
1990,0.969
1991,1.3047
1992,1.0762
1993,1.1008
1994,1.0132
1995,1.3758
1996,1.2296
1997,1.3336000000000001
1998,1.2858
1999,1.2104
2000,0.909
2001,0.8811
2002,0.779
2003,1.2868
2004,1.1088
2005,1.0491
2006,1.1579
2007,1.0549
2008,0.63
2009,1.2646
2010,1.1506
2011,1.0211
2012,1.16
2013,1.3239
2014,1.1369
2015,1.0138
2016,1.1196
2017,1.2183
