name,year,mph,damage,deaths
Baker,1950,120,2550000,38
Camille,1969,175,1.43B,259
Eloise,1975,125,560M,80
Frederic,1979,130,1770000000,12
Elena,1985,125,1300000000,9
Danny,1997,80,100000000,4
Ivan,2004,165,26100000000,92
Dennis,2005,150,3980000000,76
Katrina,2005,175,125B,1836
Michael,2018,155,25100000000,72
Carol,1954,115,462000000,72
Donna,1960,145,980000000,439
Gloria,1985,145,900000000,14
Bob,1991,115,1500000000,15
Easy,1950,125,3300000,2
King,1950,130,32000000,11
Flossy,1956,90,24900000,15
Cleo,1964,155,187000000,156
Dora,1964,130,280000000,5
Isbell,1964,125,30000000,7
Alma,1966,125,210100000,93
Gladys,1968,85,18700000,8
Agnes,1972,85,2100000000,128
Kate,1985,120,700000000,15
floyd,1987,75,500K,1
Andrew,1992,175,27300000000,65
Erin,1995,100,700000000,6
Earl,1998,100,79000000,3
Georges,1998,155,13940000000,604
Irene,1999,110,800000000,3
Charley,2004,150,16899999999,15
Frances,2004,145,10100000000,7
Jeanne,2004,120,7940000000,3037
Wilma,2005,185,27400000000,87
Hermine,2016,80,550000000,4
Matthew,2016,165,15090000000,603
Irma,2017,180,64760000000,52
Ethel,1960,115,1500000,1
Hilda,1964,150,126000000,38
Carmen,1974,150,162000000,8
Bob,1979,75,20000000,1
Danny,1985,90,100000000,2
Juan,1985,85,1500000000,12
Lili,2002,145,1160000000,13
Cindy,2005,75,320000000,1
Humberto,2007,90,50000000,1
Gustav,2008,155,8310000000,112
Isaac,2012,80,3110000000,34
Nate,2017,90,787000000,48
Belle,1976,120,100000000,12
Sandy,2012,115,68700000000,233
Barbara,1953,90,1300000,9
Ione,1955,140,88000000,7
Helene,1958,150,11400000,1
Ginger,1971,110,10000000,1
Diana,1984,130,65500000,3
Hugo,1989,160,9470000000,60
Emily,1993,115,35000000,3
Bertha,1996,115,335000000,12
Fran,1996,120,5000000000,22
Bonnie,1998,115,1000000000,5
FLOYD,1999,155,6500000000,74
Alex,2004,120,7500000,1
Ophelia,2005,85,70000000,1
Irene,2011,120,14200000000,49
Esther,1961,145,6000000,0
Able,1952,105,2750000,3
Cindy,1959,75,75000,1
Gracie,1959,140,14000000,22
Bob,1985,75,20000000,5
Gaston,2004,75,130000000,8
Carla,1961,175,325740000,43
Beulah,1967,160,234600000,59
Celia,1970,125,930000000,27
Fern,1971,90,30200000,2
Allen,1980,190,1570000000,269
Alicia,1983,115,3000000000,21
Bonnie,1986,85,42000000,4
Chantal,1989,80,100000000,13
Jerry,1989,85,70000000,3
Bret,1999,145,15000000,1
Claudette,2003,90,181000000,1
Dolly,2008,100,1600000000,1
Ike,2008,145,38000000000,214
Harvey,2017,130,125000000000,68
Iwa,1982,90,312000000,1
Iniki,1992,145,3100000000,6
Ofa,1990,115,187000000,8
Val,1991,105,381000000,17
Heta,2003,130,113000000,1
Olaf,2005,130,10000000,0
Karen,1962,185,250000000,11
Pamela,1976,150,500000000,11
Roy,1988,100,28500000,2
Omar,1992,115,561200000,15
Chataan,2002,110,660000000,54
Pongsona,2002,105,730000000,1
Dolphin,2015,115,13500000,1
Lynn,1987,120,32299999,49
Mireille,1991,115,10000000000,64
Chaba,2004,125,2000000000,20
Vongfong,2014,130,58000000,9
Soudelor,2015,130,4090000000,59
Mangkhut,2018,125,3740000000,134
Yutu,2018,130,198100000,29
Betsy,1956,120,50000000,36
Hortense,1996,140,158000000,39
Maria,2017,175,91610000000,3057
Marilyn,1995,115,2500000000,13
Lenny,1999,155,685800000,17
Omar,2008,130,80000000,1
